source_row,note,time_s,reference_vr_m_s,calculated_vr_m_s,error_vr_m_s,reference_vn_m_s,calculated_vn_m_s,error_vn_m_s,reference_height_km,calculated_height_km,error_height_km,reference_range_km,calculated_range_km,error_range_km,reference_beta_deg,calculated_beta_deg,error_beta_deg,reference_mass_kg,calculated_mass_kg,error_mass_kg
22,,1484.753,-68.3822,-68.4136105522303,-0.031410552230298094,1648.503,1648.4622500645598,-0.04074993544008976,56.24988,56.2412615032094,-0.008618496790596453,2267.41,2267.4662328097297,0.05623280972986322,74.76871,74.77064875336005,0.0019387533600507822,9888.822,9888.898847211869,0.07684721186888055
23,,1566.446,-68.903,-68.93955335791698,-0.03655335791697212,1653.675,1653.6307254549731,-0.044274545026837586,50.6396,50.62812809139133,-0.011471908608669423,2398.27,2398.322678095215,0.052678095215014764,79.0838,79.08569484576874,0.0018948457687457676,9888.822,9888.89862178128,0.07662178127975494
24,,1647.758,-69.0331,-69.07747358557519,-0.04437358557518678,1658.88,1658.8322981284298,-0.04770187157032524,45.02904,45.01429263457373,-0.014747365426273973,2529.33,2529.384606784904,0.054606784904080996,83.40577,83.40751683949762,0.0017468394976134505,9888.822,9888.898397351271,0.07639735127122549
25,,1728.702,-68.7698,-68.82116395551942,-0.0513639555194203,1664.089,1664.038691050069,-0.05030894993092261,39.44923,39.43060448985776,-0.01862551014224323,2660.63,2660.678378519863,0.04837851986303576,87.73529,87.73698395475157,0.0016939547515590903,9888.822,9888.898173877777,0.0761738777764549
26,,1809.266,-68.1127,-68.17131424616734,-0.05861424616733757,1669.272,1669.2188256081238,-0.053174391876154914,33.93262,33.90970769498169,-0.022912305018309098,2792.13,2792.175453719155,0.04545371915492069,92.07154,92.07315508689535,0.0016150868953559439,9888.822,9888.897951387115,0.07595138711440086
27,,1889.417,-67.0643,-67.13331214943013,-0.06901214943012235,1674.394,1674.3407091264678,-0.053290873532205296,28.51273,28.484263620533124,-0.028466379466877356,2923.76,2923.803963998165,0.043963998164599616,96.41222,96.41366034584436,0.0014403458443581485,9888.822,9888.897729964885,0.0757299648848857
28,,1969.095,-65.631,-65.70684079826802,-0.07584079826801826,1679.424,1679.3693556844987,-0.05464431550126392,23.2237,23.190056679138372,-0.03364332086162847,3055.41,3055.4603405938888,0.05034059388890455,100.7536,100.75508450825878,0.0014845082587697789,9888.822,9888.897509770371,0.07550977037135453
29,,2048.225,-63.823,-63.91011769828928,-0.08711769828927629,1684.326,1684.2720185032597,-0.05398149674033448,18.09933,18.058519801234954,-0.04081019876504399,3186.94,3186.979515382513,0.03951538251294551,105.0907,105.09198438361722,0.0012843836172180545,9888.822,9888.897291008305,0.0752910083047027
30,,2126.722,-61.6549,-61.749746008022385,-0.09484600802238674,1689.066,1689.0126971051543,-0.05330289484572859,13.17205,13.125019551860982,-0.04703044813901869,3318.16,3318.204363395493,0.044363395493292046,109.4178,109.41917871027024,0.0013787102702451648,9888.822,9888.89707390875,0.07507390875070996
31,,2204.503,-59.1452,-59.25191190894298,-0.10671190894297666,1693.613,1693.5623759671212,-0.05062403287888628,8.471783,8.415809089241627,-0.055973910758373435,3448.9,3448.942469747471,0.04246974747093191,113.729,113.73032252678037,0.001322526780370481,9888.822,9888.896858701006,0.07485870100572356
